course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
TEACH HUMANIT/SOC STUDIES,MSED,582L,,,MS Education BE,MS Education BE,3,110
IRELAND'S MEDIA,IMDA,210L,,,Communication and The Arts CO,School Communication Arts CO,3,111
TAX I,ACCT,403N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,112
INTERMEDIATE BALLET,PHED,372N,,,Science SI,School of Science SI,3,113
CROSS CULT CJ SYS,CRJU,440L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,114
ENGAGED IN SCI EDUC,MSED,583L,,,MS Education BE,MS Education BE,3,115
IND WRITING PROJ,ENG,490L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '222L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '280L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,116
COG NEUROSCI+PSYC+LAB,PSYC,306L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,4,117
ST:FRESHWATER BIOLOGY,BIOL,393L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,118
METH IN MED TECH,MEDT,260N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,4,119
