course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
ST:APPLIED MINDFULNESS,PSYC,394L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,1742
CONTENT DESIGN & RESEARCH,ART,200N,,,Communication and The Arts CO,School Communication Arts CO,3,1743
BUSINESS & SOCIETY,BUS,202L,,,Management SM,School of Management SM,3,1744
INTERNSHIP,ARTM,620L,,,MA Museum Studies CW,Museum Studies CW,4,1745
ITAL CONVRSTN I,ITAL,281L,,,Liberal Arts LA,School of Liberal Arts LA,3,1746
ST:PROF CERT IN AVID MEDIA COM,MDIA,389N,,,Communication and The Arts CO,School Communication Arts CO,1,1747
GREEK & ROMAN ART,ART,230L,,,Communication and The Arts CO,School Communication Arts CO,3,1748
INTRO TO AMERICAN STDS,HIST,110L,,,Liberal Arts LA,School of Liberal Arts LA,3,1749
CATHOLICS IN US,REST,217L,,,Liberal Arts LA,School of Liberal Arts LA,3,1750
HISTORY OF THE HOLOCAUST,HIST,207L,,,Liberal Arts LA,School of Liberal Arts LA,3,1751
HIST OF AMER MAHHOOD,HIST,211L,,,Liberal Arts LA,School of Liberal Arts LA,3,1752
ST:JAPANESE ELEMENTS II,JPN,293L,,,Liberal Arts LA,School of Liberal Arts LA,3,1753
ELEM RUSSIAN I,RUSS,101L,,,Liberal Arts LA,School of Liberal Arts LA,3,1754
MUSEUM/GALLERY INTERNSHIP,ART,266N,,,Communication and The Arts CO,School Communication Arts CO,3,1755
CATHOLICS IN US,HIST,217L,,,Liberal Arts LA,School of Liberal Arts LA,3,1756
ST:SIGN LANGUAGE II,LANG,193L,,,Liberal Arts LA,School of Liberal Arts LA,3,1757
TRAUMA INFORMED PRACTICE,SOCW,310L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,1758
FASHION ECOMMERCE,FASH,323N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '265N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1759
CHAMBER STRINGS ENSMBL,MUS,238N,,,Communication and The Arts CO,School Communication Arts CO,1,1760
DRUMLINE,MUS,239N,,,Communication and The Arts CO,School Communication Arts CO,1,1761
ST:APPLIED MINDFULNESS,SOCW,394L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,1762
SPORTS ANALYTICS,COM,372L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '260L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1763
HIST OF MUSICAL THEATRE,MUS,246L,,,Communication and The Arts CO,School Communication Arts CO,3,1764
TRADITIONAL ASIA,HIST,268L,,,Liberal Arts LA,School of Liberal Arts LA,3,1765
MODERN CHINA,HIST,271L,,,Liberal Arts LA,School of Liberal Arts LA,3,1766
HIST OF ROCK & ROLL,MUS,249L,,,Communication and The Arts CO,School Communication Arts CO,3,1767
HIDDEN MEANING-REN ART,ART,316L,,,Communication and The Arts CO,School Communication Arts CO,3,1768
MARIST COLLEGE SINGERS,MUS,250N,,,Communication and The Arts CO,School Communication Arts CO,1,1769
MULTIMEDIA AUTHORING,ART,322N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '231L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,1770
INST: TV WRITING,COM,403L,,,Communication and The Arts CO,School Communication Arts CO,3,1771
INTRO TO FIN MGMT,MGMT,320N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Management Studies', '205N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Management Studies', '206L', 'Undergraduate', 'D', '']]",Professional Programs PP,Professional Programs PP,3,1772
CONDUCTING,MUS,321N,,,Communication and The Arts CO,School Communication Arts CO,1,1773
MARIST ABROAD PRO,MAP,303N,,,Registrar RG,Registrar RG,14,1774
INST:SOCIO-CULT/INCLUSIVE EDUC,SOC,380L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,1775
INST: 3D EXTENDED,ART,367L,,,Communication and The Arts CO,School Communication Arts CO,1,1776
INST: CRYPTOLOGY,MATH,384L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,1,1777
ST:APPLIED MINDFULNESS,SOC,394L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,1778
INST:CORP FIN STRUCT. IN ITALY,BUS,404N,,,Management SM,School of Management SM,3,1779
QUAL SOC RESCH,SOC,450L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,1780
MARIST ABROAD ELECTIVE,MAP,311L,,,Registrar RG,Registrar RG,2,1781
COMBINATORICS,MATH,441L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Mathematics', '310L', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,1782
ST: MUSIC AS LEADERSHIP,MUS,378L,,,Communication and The Arts CO,School Communication Arts CO,3,1783
INST:POST PUNK MUSIC INFLUENCE,MUS,384L,,,Communication and The Arts CO,School Communication Arts CO,1,1784
INST: MASTER PRINT,ART,387N,,,Communication and The Arts CO,School Communication Arts CO,2,1785
ADVERT PORTFOLIO DVLP II,COM,432N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '354L', 'Undergraduate', 'B-', '']]",Communication and The Arts CO,School Communication Arts CO,3,1786
SPANISH PRACTICUM,SPAN,189L,,,Liberal Arts LA,School of Liberal Arts LA,1,1787
MARIST ABROAD ELECTIVE,MAP,338L,,,Registrar RG,Registrar RG,2,1788
MARIST ABROAD ELECTIVE,MAP,339L,,,Registrar RG,Registrar RG,2,1789
STAGECRAFT,ENG,228L,,,Liberal Arts LA,School of Liberal Arts LA,3,1790
ICONS:SPAN TRANS,SPAN,415L,,,Liberal Arts LA,School of Liberal Arts LA,3,1791
FOOD MARKETING & COMM,ICOM,253L,,,Comm/The Arts* CA,Communiation the Arts CA,3,1792
HISTORY OF SPAIN,ISPA,328L,,,Liberal Arts LA,School of Liberal Arts LA,3,1793
LOCAL JOURNALISM,ICOM,310L,,,Communication and The Arts CO,School Communication Arts CO,3,1794
SPANISH SHORT STORY,ISPA,333L,,,Liberal Arts LA,School of Liberal Arts LA,3,1795
ONLINE CULTURE,MDIA,312L,,,Communication and The Arts CO,School Communication Arts CO,3,1796
STORYTELLING ACROSS MEDIA,MDIA,313L,,,Communication and The Arts CO,School Communication Arts CO,3,1797
MODERN GERMANY,HIST,349L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'History', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '123L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '124L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '130L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '135L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '140L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '141L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '142L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '201L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '205L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '210L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '215L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '216L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '217L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '218L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '219L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '220L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '222L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '223L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '225L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '226L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '227L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '228L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '229L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '230L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '232L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '234L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '236L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '240L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '242L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '244L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '247L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '248L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '249L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '250L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '251L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '252L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '255L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '256L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '258L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '260L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '261L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '262L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '263L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '266L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '267L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '268L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '269L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '270L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '271L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '272L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '274L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '275L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '285L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '286L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '292L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '293L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '294L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '295L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '296L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '297L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '298L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '299L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'History', '201L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '205L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '210L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '215L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '216L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '217L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '218L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '219L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '220L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '222L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '223L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '225L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '226L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '227L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '228L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '229L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '230L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '232L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '234L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '236L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '240L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '242L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '244L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '247L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '248L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '249L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '250L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '251L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '252L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '255L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '256L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '258L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '260L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '261L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '262L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '263L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '266L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '267L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '268L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '269L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '270L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '271L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '272L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '274L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '275L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '285L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '286L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '292L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '293L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '294L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '295L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '296L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '297L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '298L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '299L', 'Undergraduate', 'D', ')']]",Liberal Arts LA,School of Liberal Arts LA,3,1798
LIT CRIT THRY,ENG,308L,,,Liberal Arts LA,School of Liberal Arts LA,3,1799
PLAYWRITE WORKSH,ENG,310L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '150L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '222L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,1800
17 CENT LIT,ENG,329L,,,Liberal Arts LA,School of Liberal Arts LA,3,1801
LANDSCAPE & ARCH PHOTO,IART,103L,,,Communication and The Arts CO,School Communication Arts CO,3,1802
18 CENT ENGL/COLO,ENG,336L,,,Liberal Arts LA,School of Liberal Arts LA,3,1803
U.S. DRAMA,ENG,367L,,,Liberal Arts LA,School of Liberal Arts LA,3,1804
TRAVEL WRITING WKSHP,ENG,368L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '222L', '', '', ''], ['Or', '', '', '', 'English', '280L', '', '', '']]",Liberal Arts LA,School of Liberal Arts LA,3,1805
ST:NEW DEAL IN AMERICAN LIFE,HIST,382L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'History', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '201L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '205L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '210L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '215L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '216L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '217L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '218L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '219L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '220L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '222L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '223L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '225L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '226L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '227L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '228L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '229L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '230L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '232L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '234L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '236L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '240L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '242L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '244L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '247L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '248L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '249L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '250L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '251L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '252L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '255L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '256L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '258L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '260L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '261L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '262L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '263L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '266L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '267L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '268L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '269L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '270L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '271L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '272L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '274L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '275L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '280L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '285L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '286L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '292L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '293L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '294L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '295L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '296L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '297L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '298L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'History', '299L', 'Undergraduate', 'D', ')']]",Liberal Arts LA,School of Liberal Arts LA,3,1806
INST: NETWORK FUNCTION DEV,CMPT,388N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,1807
INST: ADV TECH ENT,CMPT,391L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,1808
z/OS EMERGING TECHNOLOGIES,CMPT,453N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '315N', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,1809
DB2 FUNDAMENTALS,CMPT,455N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,1810
AMERICAN SOCIAL THOUGHT,PHIL,213L,,,Liberal Arts LA,School of Liberal Arts LA,3,1811
INTRO TO FACILITIES,CMPT,482N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,1812
INST: MODAL LOGIC,PHIL,305L,,,Liberal Arts LA,School of Liberal Arts LA,1,1813
INTERMEDIATE ARABIC I,ARAB,105L,,,Liberal Arts LA,School of Liberal Arts LA,3,1814
FOUNDATIONS IN SOC JUSTICE,CRJU,203L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,1815
LAYOUT+DESIGN,COM,328L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Communication', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '103L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Communication', '242L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '243L', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,1816
DATA MODELING FOR BUSINESS,BUS,310L,,,Management SM,School of Management SM,3,1817
SECRETS OF THE MET,ART,115L,,,Communication and The Arts CO,School Communication Arts CO,3,1818
